#{"t_start": 1679047616.014276, "env_id": null}
r,l,t
260.536632,100,17.026916
121.670497,100,17.045885
121.901591,100,17.062555
121.981442,100,17.079818
121.664076,100,17.097121
161.521448,100,17.116881
123.333142,100,17.133629
121.833559,100,17.150316
121.965668,100,17.166929
121.813189,100,17.571854
123.241582,100,17.590491
260.543431,100,17.607818
121.861332,100,17.625373
104.851181,89,17.640833
260.450772,100,17.658106
59.949058,53,17.671463
42.853189,39,17.677991
161.745804,100,17.694517
118.937568,77,17.707763
161.797685,100,17.725218
161.813933,100,17.743124
108.058944,92,17.759534
60.642538,41,17.766888
86.379441,74,17.779929
161.767508,100,17.796586
260.532357,100,17.814562
121.47978,100,17.83192
161.747556,100,17.851164
121.205778,100,17.868776
121.304556,100,17.885563
260.465046,100,17.902016
260.529011,100,17.918524
161.778624,100,18.331004
91.157846,78,18.344168
260.463311,100,18.360571
161.678995,100,18.377551
161.78173,100,18.394184
161.671802,100,18.414928
161.730348,100,18.431487
123.402931,100,18.448078
121.866493,100,18.464766
161.792019,100,18.481477
161.767341,100,18.498146
97.426203,83,18.512263
123.427381,100,18.528933
123.548297,100,18.546413
121.562947,100,18.563079
161.815635,100,18.582368
161.790685,100,18.599863
122.755277,100,18.616851
122.809887,100,18.633692
121.523232,100,18.650572
122.063668,100,18.667605
122.472618,100,19.089195
161.570364,100,19.106514
161.760845,100,19.12468
122.236258,100,19.14136
121.717889,100,19.159849
122.895085,100,19.176636
260.530157,100,19.193109
260.554623,100,19.209576
122.634418,100,19.226956
161.65022,100,19.244059
122.925359,100,19.261879
161.586024,100,19.279571
260.430172,100,19.296506
260.468639,100,19.313866
78.976947,69,19.325966
161.618357,100,19.344758
161.79565,100,19.361522
122.025699,100,19.378517
121.843849,100,19.395111
121.671308,100,19.411736
121.934197,100,19.827122
161.759591,100,19.843844
122.338399,100,19.861524
161.66214,100,19.878838
161.550886,100,19.895582
121.964663,100,19.91472
122.255966,100,19.932254
260.482268,100,19.949395
161.604043,100,19.966195
121.899978,100,19.982902
122.65871,100,20.000378
122.320074,100,20.017408
161.785256,100,20.035609
161.647812,100,20.05224
121.717958,100,20.070519
22.692333,23,20.076388
161.574448,100,20.093642
121.982077,100,20.110475
37.971283,27,20.115076
161.788794,100,20.132218
121.990968,100,20.150017
63.122695,56,20.159442
260.485226,100,20.176688
122.293303,100,20.595867
161.797832,100,20.61297
122.690949,100,20.630092
121.837514,100,20.648376
122.668252,100,20.667383
122.744984,100,20.684394
121.8181,100,20.701157
122.166883,100,20.718439
121.981465,100,20.73508
260.482324,100,20.752228
260.547472,100,20.76877
161.802086,100,20.785519
260.524972,100,20.801938
122.982704,100,20.819063
260.468662,100,20.838
121.708665,100,20.854859
122.868392,100,20.872634
260.546302,100,20.889011
161.719076,100,20.905741
161.715942,100,20.922958
123.738908,100,21.338005
121.836292,100,21.355065
161.783477,100,21.373304
121.874505,100,21.390084
122.018447,100,21.408508
122.862315,100,21.425135
122.756811,100,21.441941
161.691604,100,21.459867
260.509698,100,21.477574
123.414972,100,21.49497
121.482904,100,21.5121
161.73284,100,21.529832
121.746442,100,21.547223
122.541584,100,21.564561
121.533777,100,21.583695
121.775522,100,21.601148
121.959904,100,21.618254
161.773772,100,21.634888
122.016223,100,21.652134
122.314025,100,21.669252
260.489593,100,21.685894
122.685915,100,22.095077
161.798028,100,22.112639
161.664053,100,22.130218
37.94822,27,22.136909
121.811443,100,22.154872
122.521494,100,22.172051
161.635007,100,22.188672
122.039474,100,22.206193
260.555789,100,22.223572
161.78405,100,22.240895
260.539254,100,22.257707
122.49242,100,22.274774
260.497906,100,22.291542
260.527842,100,22.30996
260.50044,100,22.326836
122.480502,100,22.343611
121.783127,100,22.360922
122.900308,100,22.377674
260.392714,100,22.39418
122.781102,100,22.410788
260.427637,100,22.427234
122.079266,100,22.838873
260.430848,100,22.855534
260.553202,100,22.873963
121.647479,100,22.890973
123.149997,100,22.908907
260.555843,100,22.925669
161.721772,100,22.943683
260.527677,100,22.961433
122.659762,100,22.978221
121.613391,100,22.995235
161.802456,100,23.012064
123.190265,100,23.028773
121.828263,100,23.047753
121.956482,100,23.065095
260.557574,100,23.082931
260.422506,100,23.10054
121.797446,100,23.117429
161.685048,100,23.134437
123.072559,100,23.152139
260.484596,100,23.168921
260.557455,100,23.585872
123.177175,100,23.602863
161.649212,100,23.626058
121.83115,100,23.642959
122.697123,100,23.659873
122.534196,100,23.677411
161.742826,100,23.694933
122.73682,100,23.712615
260.538739,100,23.730079
121.837159,100,23.746752
122.768088,100,23.764741
161.796195,100,23.782012
260.43697,100,23.803418
260.550968,100,23.82034
260.557021,100,23.837655
121.894792,100,23.855244
161.663169,100,23.873073
122.000381,100,23.890795
121.985843,100,23.908934
260.442718,100,23.925906
121.903387,100,23.942623
122.00713,100,24.357421
121.726968,100,24.378937
161.673624,100,24.396409
260.531624,100,24.413398
260.437004,100,24.430675
161.547315,100,24.448526
122.638481,100,24.465893
161.778373,100,24.482828
161.776506,100,24.499922
161.785779,100,24.517498
93.727696,81,24.531235
161.807414,100,24.551709
122.526094,100,24.569466
161.681841,100,24.588142
260.46132,100,24.605457
260.501739,100,24.623209
121.863745,100,24.64008
121.926496,100,24.656891
260.488717,100,24.673408
161.655282,100,24.690765
161.64521,100,24.707544
260.542411,100,25.120403
260.485504,100,25.136948
122.763625,100,25.153675
121.790517,100,25.170561
161.793882,100,25.18715
161.68603,100,25.204015
161.678831,100,25.220605
121.81206,100,25.238087
121.414419,100,25.255691
161.655419,100,25.272715
121.957762,100,25.29464
161.722753,100,25.312248
121.85703,100,25.329564
161.743527,100,25.346655
161.691522,100,25.36389
260.46763,100,25.380438
121.835193,100,25.397052
121.652277,100,25.413668
121.638109,100,25.430861
260.449626,100,25.448358
260.491808,100,25.863772
161.608791,100,25.881242
122.993062,100,25.898737
121.646677,100,25.915457
161.780117,100,25.931934
122.390536,100,25.949446
122.91323,100,25.966883
260.500386,100,25.983856
121.752012,100,26.001022
161.752904,100,26.017889
260.485732,100,26.037164
121.81127,100,26.054582
122.865406,100,26.07125
122.954169,100,26.087886
122.104792,100,26.104639
161.802446,100,26.121349
161.808092,100,26.138221
260.416855,100,26.155446
121.691381,100,26.172234
