#{"t_start": 1679129678.333805, "env_id": null}
r,l,t
616.859691,500,365.791716
617.405561,500,366.361214
617.144239,500,373.87041
808.750151,500,374.282736
617.333945,500,374.710639
609.849669,500,375.149946
1302.685066,500,385.457909
1302.669733,500,385.853603
1302.651768,500,386.206355
1302.686437,500,386.555179
609.604299,500,387.742632
1302.687481,500,388.085417
609.736173,500,388.461283
808.78116,500,388.841917
609.803292,500,395.306271
808.776025,500,395.812707
1302.716104,500,396.251728
1302.703483,500,396.767329
333.634339,274,397.031016
617.982194,500,403.530387
609.79087,500,403.976552
1302.693415,500,404.416458
609.869584,500,404.842249
1302.684513,500,412.559055
616.642637,500,413.053142
1302.664963,500,413.537885
616.969438,500,413.957069
616.263962,500,424.688371
616.355675,500,425.289276
610.04404,500,425.853956
808.386439,500,426.356157
1302.646868,500,433.64213
616.264284,500,434.136047
615.625868,500,434.664472
615.91222,500,435.308882
1302.652013,500,445.396807
808.524505,500,445.837853
1302.698906,500,446.348755
616.105565,500,446.834074
615.618026,500,455.378004
609.933579,500,455.912161
808.643837,500,456.481947
808.540791,500,457.14737
609.948516,500,466.071604
808.593772,500,466.739933
615.902716,500,467.597025
616.081223,500,468.176442
610.081627,500,468.870289
1302.708066,500,479.864306
609.881061,500,480.774086
1302.705849,500,481.629396
1302.703559,500,482.345472
609.954197,500,492.33389
609.978197,500,492.803076
808.718347,500,493.2727
609.945014,500,493.745591
617.1898,500,503.178501
617.018005,500,503.579732
617.296122,500,504.020795
610.084483,500,504.46799
1302.749698,500,507.548691
808.810153,500,507.884312
808.687019,500,508.251929
1302.756414,500,508.601415
618.203443,500,513.40187
617.882349,500,513.731653
617.316968,500,514.065285
617.784601,500,514.397126
518.482924,424,515.532707
808.805839,500,515.873304
618.266951,500,516.209972
1302.755895,500,516.554222
808.864083,500,517.743162
808.739701,500,518.079274
609.821478,500,518.414188
1302.726123,500,518.746222
617.585033,500,519.907752
808.521783,500,520.235562
808.460114,500,520.568378
1302.700842,500,520.900156
1302.725526,500,522.065366
122.878953,105,522.13681
616.930077,500,522.50421
610.178627,500,522.865434
610.180041,500,523.196751
610.198122,500,524.552352
1302.672107,500,524.916967
1302.641926,500,525.289516
808.437722,500,525.637166
1302.689483,500,526.868174
610.079065,500,527.22367
1302.677225,500,527.56379
1302.683341,500,527.893135
808.59658,500,528.227412
616.640168,500,529.417535
616.122859,500,529.756428
609.953319,500,530.082237
1302.659233,500,530.429983
616.428003,500,531.61142
609.806368,500,531.951517
616.134558,500,532.285696
808.629546,500,532.627145
1302.649508,500,533.879205
609.737949,500,534.21374
609.885241,500,534.544083
1302.652754,500,534.890982
616.800505,500,536.116343
609.743409,500,536.4541
1302.636326,500,536.786999
617.103783,500,537.157748
617.176796,500,538.462524
1302.597789,500,538.809375
808.61544,500,539.152194
808.699207,500,539.495948
609.773035,500,540.690402
617.88577,500,541.029339
618.264098,500,541.361972
618.105309,500,541.700176
1302.599697,500,542.884886
609.525157,500,543.222233
1302.643719,500,543.554474
1302.644042,500,543.895098
1302.644589,500,545.110535
1302.615012,500,545.450289
1302.614131,500,545.788211
1302.633857,500,546.137268
1302.591884,500,547.357314
1302.684833,500,547.696772
1302.65874,500,548.033238
609.61779,500,548.376464
609.578336,500,550.156615
609.720231,500,551.022225
609.691352,500,551.665363
808.852967,500,552.224468
1302.689251,500,552.67515
808.819285,500,561.589302
609.677241,500,562.055899
618.135163,500,562.48158
808.847738,500,562.912658
808.870234,500,571.685831
1302.722364,500,572.347843
609.554824,500,572.974301
609.643989,500,573.470115
808.910666,500,582.3355
1302.708339,500,582.904053
618.746502,500,583.471031
808.816935,500,584.000241
609.783912,500,592.894094
1302.7423,500,593.300971
808.872013,500,593.809386
1302.738373,500,594.393024
1302.716651,500,603.396491
1302.735271,500,603.865389
617.919525,500,604.414112
808.73287,500,604.899101
808.878744,500,616.485111
609.648832,500,616.921673
618.454311,500,617.343598
1302.720955,500,617.758299
808.847296,500,625.516901
1302.734661,500,626.002221
609.768008,500,626.527453
1302.721871,500,626.935499
1302.707038,500,636.561718
1302.745316,500,637.036521
808.949929,500,637.53497
609.642781,500,637.970959
609.623293,500,648.191713
1302.75997,500,648.661946
809.046339,500,649.2485
808.961443,500,649.708887
809.009192,500,662.391623
609.456649,500,662.829735
1302.758637,500,663.295488
609.475513,500,663.745454
609.48838,500,673.679689
1302.773574,500,674.110475
618.480928,500,674.526645
618.223385,500,674.980256
618.487654,500,675.441098
619.337944,500,684.962355
1302.762316,500,685.435983
609.671544,500,685.880979
144.2609,121,685.981471
809.051441,500,693.671117
40.440058,37,693.710397
808.941089,500,694.195216
609.502509,500,694.6184
618.512882,500,695.1144
808.970712,500,705.912536
808.962646,500,706.485456
609.814059,500,707.150295
808.921176,500,707.698311
618.166026,500,708.276242
1302.781553,500,718.858619
609.721615,500,719.397278
617.718576,500,719.926487
609.672601,500,720.427655
617.332211,500,728.127273
609.412638,500,728.590118
609.512782,500,729.010707
808.959883,500,729.434588
1302.763569,500,738.159786
617.244003,500,738.57738
808.918421,500,739.046517
609.426837,500,739.538847
1302.787568,500,755.980085
616.980317,500,756.510885
1302.763235,500,757.059307
808.936165,500,757.545383
